judul,text,tanggal,sentimen
Asing Borong 10 Saham Ini Kala IHSG Roller Coaster Pekan Lalu,asing borong 10 saham ini kala IHSG roller coaster pekan lalu,2024/08/12,positif
"Profil Ketua Umum Kadin Arsjad Rasjid, Intip Deretan Bisnisnya","profil ketua umum kadin arsjad rasjid , intip deretan bisnisnya",2024/09/14,netral
"Bayar Resources (BYAN) Tebar Dividen Rp 4,83 Triliun",bayar resources ( BYAN ) tebar dividen rp 4.83 triliun,2025/01/06,positif
"Neraca Dagang RI Potensi Lanjut Surplus, Rupiah Siap Bangkit!","neraca dagang RI potensi lanjut surplus , rupiah siap bangkit !",2024/10/15,positif
Saham MNC Digital (MSIN) Resmi Stock Split 1:5 Hari Ini,saham MNC digital ( MSIN ) resmi stock split 1:5 hari ini,2024/10/07,positif
Kupas Tuntas Rahasia Perusahaan yang Sukses Melantai di Bursa,kupas tuntas rahasia perusahaan yang sukses melantai di bursa,2024/11/12,netral
"Sosok Pemilik Mal Grand Indonesia, Begini Sepak Terjangnya","sosok pemilik mal grand indonesia , begini sepak terjangnya",2025/01/05,netral
"IHSG Menguat Jelang Pengumuman Inflasi, Bakal Rekor Lagi?","IHSG menguat jelang pengumuman inflasi , bakal rekor lagi ?",2024/09/02,positif
"Pemiliknya Sama, Ternyata Ini Perbedaan Alfamart dan Alfamidi","pemiliknya sama , ternyata ini perbedaan alfamart dan alfamidi",2024/11/04,netral
"Data Tenaga Kerja AS Membaik, Harga Minyak Naik Tiga Hari Beruntun!","data tenaga kerja AS membaik , harga minyak naik tiga hari beruntun !",2024/08/09,positif
Djohan Emir Setijoso Mundur dari Kursi Presiden Komisaris BCA (BBCA),djohan emir setijoso mundur dari kursi presiden komisaris BCA ( BBCA ),2024/12/17,netral
"Transaksi Tak Wajar, BEI Pantau Ketat Saham FAPA dan JTPE","transaksi tak wajar , BEI pantau ketat saham FAPA dan JTPE",2024/10/17,negatif
"BI Bayar Gaji Pegawai Rp5,25 T pada 2024, Setor Pajak Rp2,53 T","BI bayar gaji pegawai rp 5.25 t pada 2024 , setor pajak rp 2.53 t",2024/11/06,positif
"Maybank Sekuritas Bakal Boyong 3 Perusahaan IPO, Ini Sektornya","maybank sekuritas bakal boyong 3 perusahaan IPO , ini sektornya",2024/07/10,positif
"Kredit BNI Tumbuh 11,7% per Juni 2024, Tiga Sektor Ini Jadi Andalan","kredit BNI tumbuh 11.7% per juni 2024 , tiga sektor ini jadi andalan",2024/08/22,positif
"Warning Buat IHSG, Bursa Asia Dibuka Kompak Merah","warning buat IHSG , bursa asia dibuka kompak merah",2024/11/21,negatif
Forbes Nobatkan BRI Sebagai Perusahaan Terbesar di Indonesia,forbes nobatkan BRI sebagai perusahaan terbesar di indonesia,2024/06/15,positif
"Breaking! IHSG Ambruk 1,77%, Deretan Saham Ini Jadi Pemberat","breaking ! IHSG ambruk 1.77% , deretan saham ini jadi pemberat",2025/02/25,negatif
"Indonesia Bakal Punya Bank Emas, Apa Itu?","indonesia bakal punya bank emas , apa itu ?",2024/11/18,netral
Ini Kata BRI Soal Usulan Jokowi Perpanjang Restrukturisasi Kredit Bank,ini kata BRI soal usulan jokowi perpanjang restrukturisasi kredit bank,2024/07/02,netral
"Rupiah Kembali Tersungkur, Dolar Makin Melesat ke Rp15.920","rupiah kembali tersungkur , dolar makin melesat ke rp 15.920",2024/12/12,negatif
"Hari Pertama Melantai di Bursa, Anak Usaha Adaro (AADI) Langsung ARA","hari pertama melantai di bursa , anak usaha adaro ( AADI ) langsung ARA",2024/12/05,positif
Begini Cara Membersihkan Nama dari BI Checking atau SLIK OJK,begini cara membersihkan nama dari BI checking atau SLIK OJK,2024/08/20,netral
Komisaris Independen MD Entertainment (FILM) Mundur,komisaris independen MD entertainment ( FILM ) mundur,2024/12/02,negatif
"Petaka Bawa Berkah, Ini Alasan Resesi Bisa Cetak Orang Kaya Baru","petaka bawa berkah , ini alasan resesi bisa cetak orang kaya baru",2024/08/06,netral
Peserta Asuransi Wajib Tahu! Sepele tapi Bisa Bikin Premi Naik,peserta asuransi wajib tahu ! sepele tapi bisa bikin premi naik,2025/02/27,netral
"IHSG Naik 0,59%, BREN & BBRI Jadi Penopang","IHSG naik 0.59% , BREN BBRI jadi penopang",2024/02/28,positif
"Terungkap, Ternyata Ini Alasan Tuyul Tidak Curi Uang di Bank","terungkap , ternyata ini alasan tuyul tidak curi uang di bank",2024/08/17,netral
"Soal KUR Macet Apakah Bakal Dihapus, Bos BRI Bilang Gini","soal KUR macet apakah bakal dihapus , bos BRI bilang gini",2024/11/13,netral
"IHSG Balik Arah Jadi Lesu, Ini Penyebabnya","IHSG balik arah jadi lesu , ini penyebabnya",2024/12/10,negatif
"Menanti Kado Santa, Rupiah Potensi Menguat Hari Ini!","menanti kado santa , rupiah potensi menguat hari ini !",2024/12/23,positif
"IHSG Ogah Bergerak, Turun Tipis dan Masih di Level 7.000","IHSG ogah bergerak , turun tipis dan masih di level 7.000",2025/01/08,negatif
"IHSG Ambruk 1% Lagi, Ini Penyebabnya","IHSG ambruk 1% lagi , ini penyebabnya",2024/11/15,negatif
Antam (ANTM) Angkat Rauf Purnama Jadi Komisaris Utama,antam ( ANTM ) angkat rauf purnama jadi komisaris utama,2024/11/13,netral
Cerita Haji Isam Dari Tukang Ojek Hingga Borong 2.000 Ekskavator,cerita haji isam dari tukang ojek hingga borong 2.000 ekskavator,2024/07/10,netral
"Tertekan Kanan & Kiri, Ini Penyebab Laba Bank Danamon Anjlok 9%","tertekan kanan kiri , ini penyebab laba bank danamon anjlok 9%",2025/02/19,negatif
"Buron Interpol, Bos Pinjol Bangkrut Nonton Balapan E1 GP di Qatar","buron interpol , bos pinjol bangkrut nonton balapan E1 GP di qatar",2025/02/24,negatif
"Konferensi Bitcoin Semakin Dekat, Pasar Kripto Sambut Euforia","konferensi bitcoin semakin dekat , pasar kripto sambut euforia",2024/07/27,positif
"M-Banking Target Utama Penipu Buat Kuras Rekening, Kenali Modusnya","m-banking target utama penipu buat kuras rekening , kenali modusnya",2024/06/16,netral
El Salvador Bisa Jadi Terkaya di Dunia Berkat Bitcoin,el salvador bisa jadi terkaya di dunia berkat bitcoin,2024/04/13,netral
"Jokowi Mulai Ngantor di IKN, 5 Saham Properti Ini Cerah","jokowi mulai ngantor di IKN , 5 saham properti ini cerah",2024/07/29,positif
MIND ID Komitmen Perbaikan Tata Kelola Timah,MIND ID komitmen perbaikan tata kelola timah,2024/10/15,positif
Lengkap! Ini Daftar 12 Bank Bangkrut Sepanjang 2024,lengkap ! ini daftar 12 bank bangkrut sepanjang 2024,2024/08/11,netral
"Aturan Terbaru Biaya Admin Bulanan BCA, BRI, BNI dan Mandiri","aturan terbaru biaya admin bulanan BCA , BRI , BNI dan mandiri",2024/09/30,netral
Gegara Sosok Ini Presiden & Pejabat Negara Wajib Ungkap Harta Kekayaan,gegara sosok ini presiden pejabat negara wajib ungkap harta kekayaan,2025/01/25,netral
"Bitcoin Ambruk, Robert Kiyosaki Malah Senang! Ini Alasannya","bitcoin ambruk , robert kiyosaki malah senang ! ini alasannya",2025/03/03,netral
"The Fed Turunkan Suku Bunga, Dolar Anjlok ke Rp15.605","the fed turunkan suku bunga , dolar anjlok ke rp 15.605",2024/11/08,positif
"Mengenal Free Float, Aturan yang Jegal BREN dari Indeks FTSE Russel","mengenal free float , aturan yang jegal BREN dari indeks FTSE russel",2024/09/25,netral
Daftar Sosok 9 Pemilik Mal Raksasa di Jakarta,daftar sosok 9 pemilik mal raksasa di jakarta,2024/06/17,netral
Sejumlah Bank Pesimis Kredit dan DPK Bisa Tumbuh Sesuai Target 2024,sejumlah bank pesimis kredit dan DPK bisa tumbuh sesuai target 2024,2024/11/26,negatif
"Pertumbuhan Kredit Industri Bank Melambat, NPL Membaik","pertumbuhan kredit industri bank melambat , NPL membaik",2024/11/01,netral
Emiten Konglomerat dan Saham Bank Jadi Penekan Kinerja IHSG,emiten konglomerat dan saham bank jadi penekan kinerja IHSG,2025/03/10,negatif
"Seperti Rokok, Aplikasi Pinjol Diminta Pasang Peringatan Risiko Tinggi","seperti rokok , aplikasi pinjol diminta pasang peringatan risiko tinggi",2024/09/08,netral
"Direktur Independen Mengundurkan Diri, CENT Ubah Susunan Direksi","direktur independen mengundurkan diri , CENT ubah susunan direksi",2025/01/03,negatif
Bos Emiten Orang Terkaya RI: Badai Pasti Berlalu,bos emiten orang terkaya RI : badai pasti berlalu,2025/03/04,netral
"Aturan Terbaru Saldo Minimum Rekening Bank Mandiri, BCA, BRI dan BNI","aturan terbaru saldo minimum rekening bank mandiri , BCA , BRI dan BNI",2024/10/05,netral
"Sambangi ITB, Bos BNI Kasih Wejangan Pentingnya Jadi Wirausaha","sambangi ITB , bos BNI kasih wejangan pentingnya jadi wirausaha",2024/02/21,netral
"Margin Bank Makin Tergerus, Data BI Buktinya!","margin bank makin tergerus , data BI buktinya !",2024/10/17,negatif
"Kini Resmi Bangkrut, Ini Sosok Pendiri Sritex (SRIL)","kini resmi bangkrut , ini sosok pendiri sritex ( SRIL )",2024/10/24,netral
"Air Jadi Agenda Politik, Peran Tiap Pemda Sangat Besar","air jadi agenda politik , peran tiap pemda sangat besar",2024/05/22,netral
"Transaksi QRIS Naik Tiga Kali Lipat, Kartu Debit Makin Tidak Laku","transaksi QRIS naik tiga kali lipat , kartu debit makin tidak laku",2024/05/22,negatif
"Data Tenaga Kerja AS Membaik, Dolar Naik Tipis ke Rp15.500","data tenaga kerja AS membaik , dolar naik tipis ke rp 15.500",2024/10/18,negatif
Jababeka (KIJA) Jual Lahan Buat Bayar Utang US$ 100 Juta,jababeka ( KIJA ) jual lahan buat bayar utang US 100 juta,2024/07/18,netral
"Banyak Orang Tak Tahu, Ini Kisah Gang of 4 Penguasa Bisnis RI","banyak orang tak tahu , ini kisah gang of 4 penguasa bisnis RI",2024/05/26,netral
"Ada Kabar Baik dari Bumi Resources Minerals (BRMS), Investor Simak!","ada kabar baik dari bumi resources minerals ( brms ) , investor simak !",2024/08/16,netral
Dato' Abdul Rahman Mundur dari Komisaris CIMB Niaga (BNGA),dato abdul rahman mundur dari komisaris CIMB niaga ( BNGA ),2024/06/03,netral
Hati-Hati! Begini Modus Baru Maling M-Banking,hati-hati ! begini modus baru maling m-banking,2024/10/27,netral
"Harta Kekayaan 7 Presiden RI, Siapa Paling Miskin?","harta kekayaan 7 presiden RI , siapa paling miskin ?",2024/02/18,netral
Begini Strategi Raya Jalani Bisnis Bank Digital,begini strategi raya jalani bisnis bank digital,2024/10/22,netral
"Asing Net Sell Rp1,13 Triliun, Diam-diam Lepas 10 Saham Ini","asing net sell rp 1.13 triliun , diam-diam lepas 10 saham ini",2025/02/20,negatif
"Harvey Moeis Begal Ratusan Miliar Dana CSR Timah, Begini Alirannya","harvey moeis begal ratusan miliar dana CSR timah , begini alirannya",2024/10/17,negatif
"Indeks DXY Melemah, Dolar Turun ke Rp15.785","indeks DXY melemah , dolar turun ke rp 15.785",2024/03/26,positif
WSKT Selesaikan Proyek Jalan Kwatisore-Muri Lebih Cepat,WSKT selesaikan proyek jalan kwatisore-muri lebih cepat,2024/04/04,positif
"RUU BUMN Dibahas Lagi, Ini Poin-Poinnya","RUU BUMN dibahas lagi , ini poin-poinnya",2025/01/23,netral
"Astra Agro Lestari (AALI) Bakal Bagi Dividen Interim, Ini Bocorannya","astra agro lestari ( AALI ) bakal bagi dividen interim , ini bocorannya",2024/09/18,positif
OJK Kini Punya Wewenang Minta Bank Sesuaikan Bunga Kredit,OJK kini punya wewenang minta bank sesuaikan bunga kredit,2024/08/26,netral
"Jejak Hashim Djojohadikusumo, Pengusaha Besar Adik Prabowo","jejak hashim djojohadikusumo , pengusaha besar adik prabowo",2024/09/02,netral
"Segini Saldo Minimum Nasabah Prioritas BCA, BRI, BNI, & Mandiri","segini saldo minimum nasabah prioritas BCA , BRI , BNI , mandiri",2024/07/10,netral
Kronologi Kasus Mega Korupsi Jiwasraya Hingga Kena Sanksi PKU,kronologi kasus mega korupsi jiwasraya hingga kena sanksi PKU,2024/09/17,negatif
Ira Noviarti Ungkap Transformasi Pasar Asia di Harvard Business School,ira noviarti ungkap transformasi pasar asia di harvard business school,2025/03/05,netral
Wulan Guritno Mundur Dari Komisaris Lucy in The Sky (LUCY),wulan guritno mundur dari komisaris lucy in the sky ( LUCY ),2024/08/26,netral
"Perkuat Kinerja, UNVR Fokus Tingkatkan Operasional","perkuat kinerja , UNVR fokus tingkatkan operasional",2024/10/23,positif
Delta Dunia Makmur (DOID) Bukukan Rugi Rp 432 M di Semester I-2024,delta dunia makmur ( DOID ) bukukan rugi rp 432 m di semester I-2024,2024/08/01,negatif
"Soal Kasus Suap IPO, OJK: Siapa pun yang Terlibat Tak Boleh Dilindungi","soal kasus suap IPO , OJK : siapa pun yang terlibat tak boleh dilindungi",2024/09/06,netral
"Harga Saham Sudah ke Dasar Neraka, Direktur Emiten Rp 1 Mundur","harga saham sudah ke dasar neraka , direktur emiten rp 1 mundur",2024/09/09,negatif
SMIL-KCC Glass Teken Perjanijan Sewa Logistik Senilai Puluhan Miliar,smil-kcc glass teken perjanijan sewa logistik senilai puluhan miliar,2024/09/04,netral
"Ini Bocoran Aksi Korporasi Pelat Merah, Konsolidasi BUMN Karya-IPO","ini bocoran aksi korporasi pelat merah , konsolidasi BUMN karya-ipo",2024/08/20,positif
"Kuasai 34% Saham Vale, MIND ID ""Cuma"" Dapat Jatah 2 Direksi","kuasai 34% saham vale , MIND ID "" cuma "" dapat jatah 2 direksi",2024/04/03,netral
"GOTO Punya Direktur Keuangan Baru, Ini Sosoknya","GOTO punya direktur keuangan baru , ini sosoknya",2024/07/17,netral
"12 Bank RI Bangkrut dalam 6 Bulan Terakhir, Kok Bisa?","12 bank RI bangkrut dalam 6 bulan terakhir , kok bisa ?",2024/07/14,negatif
Hotman Paris Ungkap Kronologi Gugatan CMNP ke Emiten Hary Tanoe (BHIT),hotman paris ungkap kronologi gugatan CMNP ke emiten hary tanoe ( BHIT ),2025/03/11,netral
"Kapitalisasi Bitcoin Diramal Bisa Separuh Emas, Sentuh US$ 8,8 T","kapitalisasi bitcoin diramal bisa separuh emas , sentuh US 8.8 t",2024/11/21,netral
"Bakal Ada Pengumuman Penting Antam (ANTM), RUPSLB dan Ganti Pengurus","bakal ada pengumuman penting antam ( antm ) , RUPSLB dan ganti pengurus",2024/10/23,netral
"Cuma Kerja 5 Tahun, Anggota DPR Dapat Uang Pensiun Segini..","cuma kerja 5 tahun , anggota DPR dapat uang pensiun segini . .",2024/01/21,netral
"27 Emiten Antre IPO, 13 Perusahaan Asetnya di Atas Rp 250 M","27 emiten antre IPO , 13 perusahaan asetnya di atas rp 250 m",2024/10/14,positif
"Erick Thohir Ungkap Ada 2 Miliar Serangan Siber Sehari, Ini Bahayanya","erick thohir ungkap ada 2 miliar serangan siber sehari , ini bahayanya",2024/09/18,negatif
Ini Dia! 10 Orang Terkaya di Dunia Gara-gara Judi,ini dia ! 10 orang terkaya di dunia gara-gara judi,2024/05/24,netral
"Pemerintah Bentuk Danantara, Apa Bedanya dengan SWF INA?","pemerintah bentuk danantara , apa bedanya dengan SWF INA ?",2024/11/19,netral
"Semester I-2024, Laba Bersih Lippo Cikarang (LPCK) Rp 66 M","semester i-2024 , laba bersih lippo cikarang ( LPCK ) rp 66 m",2024/09/20,positif
Holding Bikin Pariwisata Indonesia Makin Bergigi,holding bikin pariwisata indonesia makin bergigi,2024/10/11,positif
"Hidup Mewah di Jakarta, Suami-Istri Ternyata Rampok Bank Rp 87 Miliar","hidup mewah di jakarta , suami-istri ternyata rampok bank rp 87 miliar",2024/12/22,negatif
Wulan Guritno Mundur dari Komisaris Emiten Lucy in The Sky (LUCY),wulan guritno mundur dari komisaris emiten lucy in the sky ( LUCY ),2024/11/12,netral
"Bakmi GM Mau Diakuisisi Djarum, Sosok Ini Bakal Jadi Triliuner Baru","bakmi GM mau diakuisisi djarum , sosok ini bakal jadi triliuner baru",2024/12/15,netral
"Tak Jadi Ditutup Merah, BBRI & TPIA Topang IHSG Rebound!","tak jadi ditutup merah , BBRI TPIA topang IHSG rebound !",2024/09/23,positif
"Target Pertumbuhan Kredit Double Digit, Saham BBRI Diramal Cerah","target pertumbuhan kredit double digit , saham BBRI diramal cerah",2024/03/02,positif
"Harga Turun Tajam, BEI Pantau Ketat Pergerakan Saham KSIX","harga turun tajam , BEI pantau ketat pergerakan saham KSIX",2025/01/13,negatif
"Gak Ada Karyawan yang Beli, Program MESOP Bukalapak (BUKA) Gak Laku?","gak ada karyawan yang beli , program MESOP bukalapak ( BUKA ) gak laku ?",2024/05/28,netral
"BI Rate Masih Berpotensi Dipangkas, Data Ini Jadi Penentunya!","BI rate masih berpotensi dipangkas , data ini jadi penentunya !",2025/03/07,netral
"Bos BNI (BBNI) Optimis Kinerja Semester II Moncer, Ini Alasannya","bos BNI ( BBNI ) optimis kinerja semester II moncer , ini alasannya",2024/09/11,positif
"BEI Rombak Penghuni LQ45, CTRA, JPFA, dan MAPA Gantikan 3 Emiten Ini","BEI rombak penghuni LQ45 , CTRA , JPFA , dan MAPA gantikan 3 emiten ini",2025/01/23,netral
"Alasan Raja Minyak AS Kompak Dukung Donald Trump, Kasih Donasi Segini","alasan raja minyak AS kompak dukung donald trump , kasih donasi segini",2024/07/25,netral
"Klaim Kesehatan Bengkak, ""RS Nakal"" Jadi Penyebab","klaim kesehatan bengkak , "" RS nakal "" jadi penyebab",2024/02/27,negatif
"Sosok Pendiri Sritex, Dulu Raja Tekstil Kini Bangkrut Tertimbun Utang","sosok pendiri sritex , dulu raja tekstil kini bangkrut tertimbun utang",2025/01/05,netral
"Semua Bank di RI Bakal Diguyur Rp290 T Tahun Depan, Ini Sumbernya","semua bank di RI bakal diguyur rp 290 t tahun depan , ini sumbernya",2024/12/18,positif
"IHSG Masih Lanjut Koreksi, Saham Blue Chip Masih Jadi Penekan","IHSG masih lanjut koreksi , saham blue chip masih jadi penekan",2024/11/11,negatif
Raja Rokok RI Rela Ganti Nama Perusahaan Gara-Gara Mimpi,raja rokok RI rela ganti nama perusahaan gara-gara mimpi,2024/11/24,netral
"IHSG Bergairah & Balik Ke 7.300-an, Saham Ini Jadi Pendorongnya","IHSG bergairah balik ke 7300-an , saham ini jadi pendorongnya",2024/07/11,positif
Nasib BREN dan CUAN Jika Terbukti Manipulasi Pasar,nasib BREN dan CUAN jika terbukti manipulasi pasar,2024/10/04,negatif
"Tupperware Bangkrut, Menyerah Lawan Utang Menggunung","tupperware bangkrut , menyerah lawan utang menggunung",2024/09/18,negatif
"Sah! BI, OJK, BEI & 8 Bank RI Resmi Luncurkan Central Counterparty","sah ! BI , OJK , BEI 8 bank RI resmi luncurkan central counterparty",2024/09/30,netral
"Harap-harap Cemas Pengusaha Menanti Rabu, Berdoa Ini Tak Terjadi!","harap-harap cemas pengusaha menanti rabu , berdoa ini tak terjadi !",2024/07/16,netral
"Rupiah Loyo Gegara Kabar Buruk dari AS, Dolar Naik ke Rp 15.160","rupiah loyo gegara kabar buruk dari AS , dolar naik ke rp 15.160",2024/09/26,negatif
"Menantu Jokowi Jadi Sorotan Publik, Segini Harta Bobby Nasution","menantu jokowi jadi sorotan publik , segini harta bobby nasution",2024/01/10,netral
"Jangan Sembarang Jual Rekening, Bisa Berujung Masuk Daftar Hitam","jangan sembarang jual rekening , bisa berujung masuk daftar hitam",2024/08/02,negatif
"Gandeng Nobu Bank, Topindo (TOSK) Bikin EDC Mini ATM","gandeng nobu bank , topindo ( TOSK ) bikin EDC mini ATM",2024/09/11,positif
"Nikkei dan Kospi Kompak Dibuka Menguat, Angin Segar untuk IHSG?","nikkei dan kospi kompak dibuka menguat , angin segar untuk IHSG ?",2024/12/05,positif
Harga Minyak Stabil Begerak Stabil Hari Ini,harga minyak stabil begerak stabil hari ini,2025/02/14,positif
"Breaking! Rupiah Anjlok Pasca Pelantikan, Dolar Sentuh Rp 15.570","breaking ! rupiah anjlok pasca pelantikan , dolar sentuh rp 15.570",2024/10/22,negatif
Pasar Modal RI Himpun Dana Rp 251 Triliun Sejak Awal Tahun,pasar modal RI himpun dana rp 251 triliun sejak awal tahun,2024/12/30,positif
IHSG Masih Rawan! Aksi Jual Asing Membayangi,IHSG masih rawan ! aksi jual asing membayangi,2024/11/07,negatif
Investor Harap Tenang! BI: Rupiah Lemah Hanya Sementara Waktu,investor harap tenang ! BI : rupiah lemah hanya sementara waktu,2024/04/17,netral
"Tupperware Selamat dari Bangkrut, Ini Penyelamatnya","tupperware selamat dari bangkrut , ini penyelamatnya",2024/11/04,positif
"Sejarah! Uber Cetak Laba 2023 Rp 30 T, Akankah GOTO Menyusul?","sejarah ! uber cetak laba 2023 rp 30 T , akankah GOTO menyusul ?",2024/02/20,positif
Kisah Raja Rokok RI Ganti Nama Perusahaan Gara-Gara Mimpi,kisah raja rokok RI ganti nama perusahaan gara-gara mimpi,2024/11/10,netral
"Prudential Sharia Ungkap Tantangan, Inflasi Medis Sampai Daya Beli","prudential sharia ungkap tantangan , inflasi medis sampai daya beli",2025/02/27,netral
"Inflasi AS Memanas, Dolar Terbang ke Rp16.330","inflasi AS memanas , dolar terbang ke rp 16.330",2025/01/16,negatif
Alasan Maruarar Sirait Minta BTN Ganti Nama Bank,alasan maruarar sirait minta BTN ganti nama bank,2024/11/16,netral
"Tidak Mau Kalah Sama Kripto, Bursa Efek New York Mau Buka 24/7","tidak mau kalah sama kripto , bursa efek new york mau buka 247",2024/04/23,netral
"IHSG Ditutup Lesu, Saham Salim (AMMN) Jadi Beban Terbesar","IHSG ditutup lesu , saham salim ( AMMN ) jadi beban terbesar",2024/08/08,negatif
"Investor Naik 62,8%, AI Disebut Bisa Gaet Investor Reksadana","investor naik 62.8% , AI disebut bisa gaet investor reksadana",2024/11/20,positif
"IHSG Ambruk Nyaris 2%, Ini Saham Biang Keroknya","IHSG ambruk nyaris 2% , ini saham biang keroknya",2025/02/06,negatif
"8 Perusahaan Pembiayaan Lagi Proses Akuisisi, 2 Bakal Dicaplok Asing","8 perusahaan pembiayaan lagi proses akuisisi , 2 bakal dicaplok asing",2024/11/07,netral
PTPP Kejar Target Pendapatan Rp 32 Triliun Tahun 2024,PTPP kejar target pendapatan rp 32 triliun tahun 2024,2024/08/28,positif
Ekonom Ungkap Efek Penurunan Daya Beli di Balik Anjloknya IHSG,ekonom ungkap efek penurunan daya beli di balik anjloknya IHSG,2025/03/17,negatif
OJK Ungkap Bank-Bank Antre Izin Usaha Bullion,OJK ungkap bank-bank antre izin usaha bullion,2024/12/24,netral
"Terungkap, Ramalan Ini yang Bikin Warren Buffett Timbun Duit Rp4.384 T","terungkap , ramalan ini yang bikin warren buffett timbun duit rp 4.384 t",2024/08/13,netral
"Sudah Direstui, Produksi Batu Bara PTBA Naik ke 60 Juta Ton di 2026","sudah direstui , produksi batu bara PTBA naik ke 60 juta ton di 2026",2024/05/08,positif
"Saham atau Reksa Dana, Mana Investasi yang Lebih Cocok Buat Kamu?","saham atau reksa dana , mana investasi yang lebih cocok buat kamu ?",2025/02/20,netral
"Siap-Siap, Ada Tiga IPO Jumbo Akhir Tahun Ini","siap-siap , ada tiga IPO jumbo akhir tahun ini",2024/10/31,positif
"Pinjol Masuk SLIK, OJK: Pinjam Duit Makin Aman","pinjol masuk SLIK , OJK : pinjam duit makin aman",2024/08/09,netral
"Lepas Saham & Aset, AJB Bumiputera Masih Rugi Rp272,78 M","lepas saham aset , AJB bumiputera masih rugi rp 272.78 m",2024/05/06,negatif
"Ini Profil Elaine Low, Penerima Saham BYAN Rp 124 T dari Low Tuck","ini profil elaine low , penerima saham BYAN rp 124 t dari low tuck",2024/08/29,netral
"Mengadu ke DPR, Ini 3 Tuntutan Pensiunan ke Jiwasraya","mengadu ke DPR , ini 3 tuntutan pensiunan ke jiwasraya",2024/08/26,netral
"Bukan Bitcoin, Altcoin Mulai Menggeliat Hari Ini","bukan bitcoin , altcoin mulai menggeliat hari ini",2024/09/24,positif
"Valuasi Sudah Murah, Saham Bank Bangkit Diborong Investor","valuasi sudah murah , saham bank bangkit diborong investor",2024/11/25,positif
"Data Tenaga Kerja AS Kuat, Dolar Lanjut Nanjak ke Rp16.295","data tenaga kerja AS kuat , dolar lanjut nanjak ke rp 16.295",2025/01/31,negatif
"Intip Saham Belanjaan Asing Saat IHSG Loyo, Ada TLKM hingga BRIS","intip saham belanjaan asing saat IHSG loyo , ada TLKM hingga BRIS",2024/11/22,netral
"The Fed Tahan Suku Bunga, OJK Ungkap Kesiapan Industri Keuangan","the fed tahan suku bunga , OJK ungkap kesiapan industri keuangan",2024/05/03,netral
"Rakyat Menderita, Raja Terkaya RI Turun Gunung Bagi-bagi Duit Rp 20 M","rakyat menderita , raja terkaya RI turun gunung bagi-bagi duit rp 20 m",2024/12/22,netral
BNI Umumkan M Banking wondr Telah Kembali Normal,BNI umumkan m banking wondr telah kembali normal,2024/11/26,positif
"Otoritas Bursa AS Kena Hack, Harga Kripto Berterbangan","otoritas bursa AS kena hack , harga kripto berterbangan",2024/01/10,negatif
"Semester I-2024, Laba Mayora (MYOR) Naik 41,12% ke Rp1,75 T","semester i-2024 , laba mayora ( MYOR ) naik 41.12% ke rp 1.75 t",2024/07/30,positif
"OJK Luncurkan Roadmap Lembaga Keuangan Mikro, Ini 4 Poin Pentingnya","OJK luncurkan roadmap lembaga keuangan mikro , ini 4 poin pentingnya",2024/11/25,netral
Asing Kompak Berburu 10 Saham Ini,asing kompak berburu 10 saham ini,2024/07/30,positif
"Wall Street Dibuka Merah, Apa yang Ditunggu Investor?","wall street dibuka merah , apa yang ditunggu investor ?",2024/06/26,negatif
Emiten Suami Puan (CBRE) Targetkan Lonjakan Pendapatan 3 Kali Lipat,emiten suami puan ( CBRE ) targetkan lonjakan pendapatan 3 kali lipat,2024/02/16,positif
10 Cara Membedakan Emas Asli dan Palsu,10 cara membedakan emas asli dan palsu,2024/09/27,netral
"Bisnis Bareng Negara Kim Jong Un, Anthoni Salim Berakhir Rugi","bisnis bareng negara kim jong un , anthoni salim berakhir rugi",2024/12/25,negatif
10 Saham Ini Diam-Diam Diborong Asing Kala IHSG Cetak ATH Baru,10 saham ini diam-diam diborong asing kala IHSG cetak ATH baru,2024/08/22,positif
"Gibran Sowan ke Kementerian BUMN, Temui Erick Thohir","gibran sowan ke kementerian BUMN , temui erick thohir",2024/08/19,netral
"Top! BRI Dorong 1,7 juta UMKM Naik Kelas Tiap Tahun",top ! BRI dorong 1.7 juta UMKM naik kelas tiap tahun,2025/02/04,positif
Bos BTN (BBTN) Ungkap Tantangan Sektor Perumahan Indonesia,bos BTN ( BBTN ) ungkap tantangan sektor perumahan indonesia,2025/01/21,netral
"IHSG Loyo Lagi, Saham Bank Raksasa Biang Keroknya","IHSG loyo lagi , saham bank raksasa biang keroknya",2024/11/06,negatif
"Penukaran Uang Baru BI Dimulai 3 Maret, Maksimal Rp4,3 Juta/Orang","penukaran uang baru BI dimulai 3 maret , maksimal rp 4.3 jutaorang",2025/02/24,netral
"Terungkap! Dalam 20 Tahun, Transaksi Saham RI Naik 2.000%","terungkap ! dalam 20 tahun , transaksi saham RI naik 2.000%",2024/08/13,positif
"OJK Terima 31.000 Aduan, Paling Banyak Soal Bank dan Fintech","OJK terima 31.000 aduan , paling banyak soal bank dan fintech",2024/12/13,negatif
"Soal Utang Kewajiban PKPU, VIVA Buka Suara","soal utang kewajiban PKPU , VIVA buka suara",2024/10/15,netral
Intip Harta Tomy Winata & Prajogo Pangestu yang Ikut Prabowo ke China,intip harta tomy winata prajogo pangestu yang ikut prabowo ke china,2024/11/11,netral
"Fed Effect Memudar, Wall Street Dibuka di Zona Hijau","fed effect memudar , wall street dibuka di zona hijau",2024/04/17,positif
