judul,text,tokens,tanggal,sentimen
Bos BNI dan BTN Kompak Akui Likuiditas Ketat,bos BNI dan BTN kompak akui likuiditas ketat,"['bos', 'bni', 'dan', 'btn', 'kompak', 'akui', 'likuiditas', 'ketat']",2024/07/08,negatif
Tok! BTN (BBTN) Batal Akuisisi Bank Muamalat,tok ! BTN ( BBTN ) batal akuisisi bank muamalat,"['tok', '!', 'btn', '(', 'bb', '##tn', ')', 'batal', 'akuisisi', 'bank', 'muamalat']",2024/07/08,negatif
"Berani Serang OJK, Ini Profil Michael Steven dan Gurita Bisnisnya","berani serang OJK , ini profil michael steven dan gurita bisnisnya","['berani', 'serang', 'ojk', ',', 'ini', 'profil', 'michael', 'steven', 'dan', 'gur', '##ita', 'bisnisnya']",2024/07/08,netral
BTN Targetkan Spin Off Unit Usaha Syariah Rampung Semester I 2025,BTN targetkan spin off unit usaha syariah rampung semester i 2025,"['btn', 'targetkan', 'spin', 'off', 'unit', 'usaha', 'syariah', 'rampung', 'semester', 'i', '2025']",2024/07/08,positif
Bos OJK Buka-Bukaan Soal 4 Pilar Reformasi Asuransi dan Dapen RI,bos OJK buka-bukaan soal 4 pilar reformasi asuransi dan dapen RI,"['bos', 'ojk', 'buka', '-', 'bukaan', 'soal', '4', 'pilar', 'reformasi', 'asuransi', 'dan', 'dap', '##en', 'ri']",2024/07/09,netral
"Wall Street Dibuka Meriah, S&P 500 dan Nasdaq Kembali Cetak Rekor","wall street dibuka meriah , SP 500 dan nasdaq kembali cetak rekor","['wall', 'street', 'dibuka', 'meriah', ',', 'sp', '500', 'dan', 'nas', '##da', '##q', 'kembali', 'cetak', 'rekor']",2024/07/09,positif
"OJK Mau Bikin Sentralisasi Data Dana Pensiun, Ini Fungsinya","OJK mau bikin sentralisasi data dana pensiun , ini fungsinya","['ojk', 'mau', 'bikin', 'sentral', '##isasi', 'data', 'dana', 'pensiun', ',', 'ini', 'fungsinya']",2024/07/09,netral
"Kurangi Kepadatan Penumpang, KAI Minta PMN Rp 1,8 Triliun","kurangi kepadatan penumpang , KAI minta PMN rp 1.8 triliun","['kurangi', 'kepadatan', 'penumpang', ',', 'kai', 'minta', 'pm', '##n', 'rp', '1', '.', '8', 'triliun']",2024/07/09,netral
"Damri Ajukan PMN 2025 Rp1 Triliun, Tambah 100 Bus Listrik Transjakarta","damri ajukan PMN 2025 rp 1 triliun , tambah 100 bus listrik transjakarta","['dam', '##ri', 'ajukan', 'pm', '##n', '2025', 'rp', '1', 'triliun', ',', 'tambah', '100', 'bus', 'listrik', 'transjakarta']",2024/07/09,netral
"PT Pelni Ajukan PMN 2025 Sebanyak Rp 2,5 Triliun, Untuk 2 Kapal Baru!","PT pelni ajukan PMN 2025 sebanyak rp 2.5 triliun , untuk 2 kapal baru !","['pt', 'pelni', 'ajukan', 'pm', '##n', '2025', 'sebanyak', 'rp', '2', '.', '5', 'triliun', ',', 'untuk', '2', 'kapal', 'baru', '!']",2024/07/09,netral
"Rupiah Anjlok, Bayar Bunga Utang Tahun Ini Bengkak Rp1,5 T","rupiah anjlok , bayar bunga utang tahun ini bengkak rp 1.5 t","['rupiah', 'anjlok', ',', 'bayar', 'bunga', 'utang', 'tahun', 'ini', 'bengkak', 'rp', '1', '.', '5', 't']",2024/07/09,negatif
"INKA Minta Suntikan PMN Rp 976 Miliar Tahun 2025, Buat Apa?","INKA minta suntikan PMN rp 976 miliar tahun 2025 , buat apa ?","['inka', 'minta', 'suntikan', 'pm', '##n', 'rp', '97', '##6', 'miliar', 'tahun', '2025', ',', 'buat', 'apa', '?']",2024/07/09,netral
"Isu Founder Exit, William Tanuwijaya Malah Beli Lagi Saham GOTO Rp 64M","isu founder exit , william tanuwijaya malah beli lagi saham GOTO rp 64M","['isu', 'found', '##er', 'exit', ',', 'william', 'tan', '##uw', '##ijaya', 'malah', 'beli', 'lagi', 'saham', 'got', '##o', 'rp', '64', '##m']",2024/07/09,netral
Awas! Gagal Bayar Paylater Bisa Bikin KPR Ditolak,awas ! gagal bayar paylater bisa bikin KPR ditolak,"['awas', '!', 'gagal', 'bayar', 'pay', '##late', '##r', 'bisa', 'bikin', 'kpr', 'ditolak']",2024/07/09,netral
"OJK Mau Reformasi Dana Pensiun, Para Pekerja RI Wajib Tahu Ini","OJK mau reformasi dana pensiun , para pekerja RI wajib tahu ini","['ojk', 'mau', 'reformasi', 'dana', 'pensiun', ',', 'para', 'pekerja', 'ri', 'wajib', 'tahu', 'ini']",2024/07/09,netral
"Pinjol Ilegal Cari Mangsa Pakai Server Asing, Ini Korban yang Dibidik","pinjol ilegal cari mangsa pakai server asing , ini korban yang dibidik","['pinj', '##ol', 'ilegal', 'cari', 'mangsa', 'pakai', 'server', 'asing', ',', 'ini', 'korban', 'yang', 'dib', '##idik']",2024/07/09,negatif
"IHSG Bergairah, 3 Saham Bank Raksasa Jadi Penopangnya","IHSG bergairah , 3 saham bank raksasa jadi penopangnya","['ihsg', 'bergairah', ',', '3', 'saham', 'bank', 'raksasa', 'jadi', 'pen', '##opang', '##nya']",2024/07/09,positif
"15 Fintech Angka Kredit Macetnya Gak Wajar, Bos OJK Bilang Gini","15 fintech angka kredit macetnya gak wajar , bos OJK bilang gini","['15', 'fin', '##tech', 'angka', 'kredit', 'macet', '##nya', 'gak', 'wajar', ',', 'bos', 'ojk', 'bilang', 'gini']",2024/07/09,negatif
"SBN Kalah Beken dari SRBI, Kantor Sri Mulyani Buka-Bukaan","SBN kalah beken dari SRBI , kantor sri mulyani buka-bukaan","['sb', '##n', 'kalah', 'bek', '##en', 'dari', 'sr', '##bi', ',', 'kantor', 'sri', 'mulyani', 'buka', '-', 'bukaan']",2024/07/09,netral
"Tagih Utang Tak Sesuai Aturan, OJK Terima 411 Aduan Debt Collector","tagih utang tak sesuai aturan , OJK terima 411 aduan debt collector","['tag', '##ih', 'utang', 'tak', 'sesuai', 'aturan', ',', 'ojk', 'terima', '411', 'aduan', 'deb', '##t', 'coll', '##ector']",2024/07/09,negatif
"BTN (BBTN) Batal Akuisisi, Bank Muamalat Bakal Cari Investor Baru","BTN ( BBTN ) batal akuisisi , bank muamalat bakal cari investor baru","['btn', '(', 'bb', '##tn', ')', 'batal', 'akuisisi', ',', 'bank', 'muamalat', 'bakal', 'cari', 'investor', 'baru']",2024/07/09,negatif
"Berantas Judi Online, Bank Mandiri (BMRI) Lakukan 3 Hal Ini","berantas judi online , bank mandiri ( BMRI ) lakukan 3 hal ini","['berant', '##as', 'judi', 'online', ',', 'bank', 'mandiri', '(', 'bm', '##ri', ')', 'lakukan', '3', 'hal', 'ini']",2024/07/09,netral
"Sri Mulyani Bantu Bikin Stabil Rupiah, Dolar Turun ke Rp 16.245","sri mulyani bantu bikin stabil rupiah , dolar turun ke rp 16.245","['sri', 'mulyani', 'bantu', 'bikin', 'stabil', 'rupiah', ',', 'dolar', 'turun', 'ke', 'rp', '16', '.', '245']",2024/07/09,positif
Barito Pacific (BRPT) Terbitkan Obligasi Rp 1 Triliun,barito pacific ( BRPT ) terbitkan obligasi rp 1 triliun,"['barito', 'pacific', '(', 'brp', '##t', ')', 'terbit', '##kan', 'obligasi', 'rp', '1', 'triliun']",2024/07/09,positif
"Pemerintah Jerman Tiba-Tiba Jual Bitcoin Rp3,36 T, Investor Panik","pemerintah jerman tiba-tiba jual bitcoin rp 3.36T , investor panik","['pemerintah', 'jerman', 'tiba', '-', 'tiba', 'jual', 'bitcoin', 'rp', '3', '.', '36', '##t', ',', 'investor', 'panik']",2024/07/09,negatif
BRI Dinobatkan Sebagai Bank Persero Dengan Kinerja Terbaik,BRI dinobatkan sebagai bank persero dengan kinerja terbaik,"['bri', 'dinobatkan', 'sebagai', 'bank', 'persero', 'dengan', 'kinerja', 'terbaik']",2024/07/09,positif
"Ada 6 Dapen Tutup Sepanjang 2024, OJK Ungkap Penyebabnya","ada 6 dapen tutup sepanjang 2024 , OJK ungkap penyebabnya","['ada', '6', 'dap', '##en', 'tutup', 'sepanjang', '202', '##4', ',', 'ojk', 'ungkap', 'penyebabnya']",2024/07/09,negatif
"Emiten Batu Bara RI (SGER) Raih Kontrak Rp 366,28 M ke Vietnam",emiten batu bara RI ( SGER ) raih kontrak rp 366.28 m ke vietnam,"['emiten', 'batu', 'bara', 'ri', '(', 'sg', '##er', ')', 'raih', 'kontrak', 'rp', '36', '##6', '.', '28', 'm', 'ke', 'vietnam']",2024/07/09,positif
"ETF Cuma Dikuasai Investor 'Kakap', Begini Kata Bos BEI","ETF cuma dikuasai investor kakap , begini kata bos BEI","['et', '##f', 'cuma', 'dikuasai', 'investor', 'kakap', ',', 'begini', 'kata', 'bos', 'bei']",2024/07/09,netral
"Kinerja KB Bank Kian Kinclong, Direksi 'Borong' Saham BBKP","kinerja KB bank kian kinclong , direksi borong saham BBKP","['kinerja', 'kb', 'bank', 'kian', 'kin', '##cl', '##ong', ',', 'direksi', 'bor', '##ong', 'saham', 'bb', '##kp']",2024/07/09,positif
"Saham Bank Raksasa Bergairah Lagi, IHSG Cerah Bergairah","saham bank raksasa bergairah lagi , IHSG cerah bergairah","['saham', 'bank', 'raksasa', 'bergairah', 'lagi', ',', 'ihsg', 'cerah', 'bergairah']",2024/07/09,positif
Waskita Karya Masuk Daftar 500 Perusahaan Terbaik di Asia Tenggara,waskita karya masuk daftar 500 perusahaan terbaik di asia tenggara,"['waskita', 'karya', 'masuk', 'daftar', '500', 'perusahaan', 'terbaik', 'di', 'asia', 'tenggara']",2024/07/09,positif
Aset Penjahat Pasar Modal Ini Disita Kejagung,aset penjahat pasar modal ini disita kejagung,"['aset', 'penjahat', 'pasar', 'modal', 'ini', 'disita', 'kej', '##agung']",2024/07/09,negatif
"S&P 500 dan Nasdaq Kompak Cetak Rekor Baru, Dow Jones Justru Loyo","SP 500 dan nasdaq kompak cetak rekor baru , dow jones justru loyo","['sp', '500', 'dan', 'nas', '##da', '##q', 'kompak', 'cetak', 'rekor', 'baru', ',', 'dow', 'jones', 'justru', 'loy', '##o']",2024/07/10,negatif
"BUMN Minta Negara Suntik Dana Rp 44 T, Paling Banyak Untuk Ini","BUMN minta negara suntik dana rp 44 T , paling banyak untuk ini","['bumn', 'minta', 'negara', 'suntik', 'dana', 'rp', '44', 't', ',', 'paling', 'banyak', 'untuk', 'ini']",2024/07/10,netral
"PDIP Tolak PMN Danareksa-Perumnas, Beri Catatan ke Asabri-Biofarma","PDIP tolak PMN danareksa-perumnas , beri catatan ke asabri-biofarma","['pdip', 'tolak', 'pm', '##n', 'dana', '##rek', '##sa', '-', 'perumnas', ',', 'beri', 'catatan', 'ke', 'asa', '##br', '##i', '-', 'biof', '##arm', '##a']",2024/07/10,netral
"BUMN Minta PMN, DPR: Dulu Pakai Utang Negara Sekarang dari Dividen","BUMN minta PMN , DPR : dulu pakai utang negara sekarang dari dividen","['bumn', 'minta', 'pm', '##n', ',', 'dpr', ':', 'dulu', 'pakai', 'utang', 'negara', 'sekarang', 'dari', 'dividen']",2024/07/10,netral
"Cicilan Utang RI Bengkak, Faisal Basri: Subsidi ke Rakyat Dikorbankan","cicilan utang RI bengkak , faisal basri : subsidi ke rakyat dikorbankan","['cicilan', 'utang', 'ri', 'bengkak', ',', 'faisal', 'basri', ':', 'subsidi', 'ke', 'rakyat', 'dik', '##orbankan']",2024/07/10,negatif
"Maybank Sekuritas Bakal Boyong 3 Perusahaan IPO, Ini Sektornya","maybank sekuritas bakal boyong 3 perusahaan IPO , ini sektornya","['may', '##bank', 'sekuritas', 'bakal', 'boy', '##ong', '3', 'perusahaan', 'ip', '##o', ',', 'ini', 'sektor', '##nya']",2024/07/10,positif
Kantor Sri Mulyani Bakal Terbitkan ORI Khusus SDGs di Oktober,kantor sri mulyani bakal terbitkan ORI khusus sdgs di oktober,"['kantor', 'sri', 'mulyani', 'bakal', 'terbit', '##kan', 'ori', 'khusus', 'sd', '##gs', 'di', 'oktober']",2024/07/10,netral
"DEFEND ID Minta PMN Rp3,46 T, Uangnya Buat Proyek Strategis Ini","DEFEND ID minta PMN rp 3.46T , uangnya buat proyek strategis ini","['def', '##end', 'id', 'minta', 'pm', '##n', 'rp', '3', '.', '46', '##t', ',', 'uangnya', 'buat', 'proyek', 'strategis', 'ini']",2024/07/10,netral
Danareksa Minta Suntikan Rp 2 T Untuk 4 Proyek Jokowi Ini,danareksa minta suntikan rp 2 t untuk 4 proyek jokowi ini,"['dana', '##rek', '##sa', 'minta', 'suntikan', 'rp', '2', 't', 'untuk', '4', 'proyek', 'jokowi', 'ini']",2024/07/10,netral
"Skema Demutualisasi Disetujui, AJB Bakal Kedatangan Investor Baru?","skema demutualisasi disetujui , AJB bakal kedatangan investor baru ?","['skema', 'dem', '##utu', '##alisasi', 'disetujui', ',', 'aj', '##b', 'bakal', 'kedatangan', 'investor', 'baru', '?']",2024/07/10,netral
"Inflasi Medis Membengkak, Oona (ABDA) Pede Masuk Asuransi Kesehatan","inflasi medis membengkak , oona ( ABDA ) pede masuk asuransi kesehatan","['inflasi', 'medis', 'membengkak', ',', 'oo', '##na', '(', 'abd', '##a', ')', 'pede', 'masuk', 'asuransi', 'kesehatan']",2024/07/10,netral
Faisal Basri Beri Tips ke Jokowi Cara 'Suntik Mati' BUMN Sakit,faisal basri beri tips ke jokowi cara suntik mati BUMN sakit,"['faisal', 'basri', 'beri', 'tips', 'ke', 'jokowi', 'cara', 'suntik', 'mati', 'bumn', 'sakit']",2024/07/10,netral
"Ekuitas Asabri Berdarah-darah, Aset Tidak Produktif Hampir 71%","ekuitas asabri berdarah-darah , aset tidak produktif hampir 71%","['ekuitas', 'asa', '##br', '##i', 'berdarah', '-', 'darah', ',', 'aset', 'tidak', 'produktif', 'hampir', '71', '%']",2024/07/10,negatif
"Minta Negara Suntik Modal Rp 1,6 T, ID FOOD Mau Pakai Untuk Ini","minta negara suntik modal rp 1.6 T , ID FOOD mau pakai untuk ini","['minta', 'negara', 'suntik', 'modal', 'rp', '1', '.', '6', 't', ',', 'id', 'food', 'mau', 'pakai', 'untuk', 'ini']",2024/07/10,netral
"PLN Ajukan Suntikan Dana Negara Rp 3 Triliun Buat ""Setrum"" Ribuan Desa","PLN ajukan suntikan dana negara rp 3 triliun buat "" setrum "" ribuan desa","['pln', 'ajukan', 'suntikan', 'dana', 'negara', 'rp', '3', 'triliun', 'buat', '""', 'setr', '##um', '""', 'ribuan', 'desa']",2024/07/10,positif
"Bank Asal Belanda Suntik Fintech RI Ini Rp243,78 Miliar",bank asal belanda suntik fintech RI ini rp 243.78 miliar,"['bank', 'asal', 'belanda', 'suntik', 'fin', '##tech', 'ri', 'ini', 'rp', '24', '##3', '.', '78', 'miliar']",2024/07/10,positif
Indonesia Dukung Penerbitan 'Orange Bonds' untuk Kesetaraan Gender,indonesia dukung penerbitan orange bonds untuk kesetaraan gender,"['indonesia', 'dukung', 'penerbitan', 'orange', 'bond', '##s', 'untuk', 'kesetaraan', 'gender']",2024/07/10,positif
Rekening Bank Jago yang Dibobol Ternyata Diduga Hasil Tindak Pidana,rekening bank jago yang dibobol ternyata diduga hasil tindak pidana,"['rekening', 'bank', 'jago', 'yang', 'dib', '##obol', 'ternyata', 'diduga', 'hasil', 'tindak', 'pidana']",2024/07/10,negatif
Emiten Gas Industri (SBMA) Rombak Jajaran Pengurus Perusahaan,emiten gas industri ( SBMA ) rombak jajaran pengurus perusahaan,"['emiten', 'gas', 'industri', '(', 'sb', '##ma', ')', 'rom', '##bak', 'jajaran', 'pengurus', 'perusahaan']",2024/07/10,netral
"IHSG Sumringah & Dekati 7.300-an, 5 Saham Ini Jadi Pendorongnya","IHSG sumringah dekati 7300-an , 5 saham ini jadi pendorongnya","['ihsg', 'sum', '##ring', '##ah', 'dekat', '##i', '73', '##00', '-', 'an', ',', '5', 'saham', 'ini', 'jadi', 'pendorong', '##nya']",2024/07/10,positif
"Asing Lepas Saham Bank Jumbo Kecuali BBNI, Analis Ungkap Sebabnya","asing lepas saham bank jumbo kecuali BBNI , analis ungkap sebabnya","['asing', 'lepas', 'saham', 'bank', 'jumbo', 'kecuali', 'bb', '##ni', ',', 'analis', 'ungkap', 'sebabnya']",2024/07/10,negatif
"Eks Karyawan Bank Jago Bobol Dana Nasabah Rp1,39 M, Ini Kata Manajemen","eks karyawan bank jago bobol dana nasabah rp 1.39M , ini kata manajemen","['eks', 'karyawan', 'bank', 'jago', 'bobo', '##l', 'dana', 'nasabah', 'rp', '1', '.', '39', '##m', ',', 'ini', 'kata', 'manajemen']",2024/07/10,negatif
"Rugi Rp 7,12 T, Wijaya Karya (WIKA) Ungkap Whoosh Jadi Penyebabnya","rugi rp 7.12 T , wijaya karya ( WIKA ) ungkap whoosh jadi penyebabnya","['rugi', 'rp', '7', '.', '12', 't', ',', 'wijaya', 'karya', '(', 'wika', ')', 'ungkap', 'who', '##osh', 'jadi', 'penyebabnya']",2024/07/10,negatif
"Cara Eks Pegawai Bank Jago Curi Rp 1,3 M dari 112 Rekening Nasabah",cara eks pegawai bank jago curi rp 1.3 m dari 112 rekening nasabah,"['cara', 'eks', 'pegawai', 'bank', 'jago', 'curi', 'rp', '1', '.', '3', 'm', 'dari', '112', 'rekening', 'nasabah']",2024/07/10,netral
Bos ID FOOD Buka-Bukaan Alasan Perusahaan Catat Kinerja Buruk,bos ID FOOD buka-bukaan alasan perusahaan catat kinerja buruk,"['bos', 'id', 'food', 'buka', '-', 'bukaan', 'alasan', 'perusahaan', 'catat', 'kinerja', 'buruk']",2024/07/10,negatif
"Pelaku Pasar Optimis Cut Rate Makin Dekat, Dolar Turun ke Rp 16.235","pelaku pasar optimis cut rate makin dekat , dolar turun ke rp 16.235","['pelaku', 'pasar', 'optimis', 'cut', 'rate', 'makin', 'dekat', ',', 'dolar', 'turun', 'ke', 'rp', '16', '.', '235']",2024/07/10,positif
"Polemik FCA Disinggung DPR, Saham BREN Prajogo Dibawa-bawa","polemik FCA disinggung DPR , saham BREN prajogo dibawa-bawa","['polemik', 'fc', '##a', 'disinggung', 'dpr', ',', 'saham', 'bre', '##n', 'pra', '##jog', '##o', 'dibawa', '-', 'bawa']",2024/07/10,netral
Bos Biofarma Ungkap Alasan Industri Farmasi RI Harus Kuat,bos biofarma ungkap alasan industri farmasi RI harus kuat,"['bos', 'biof', '##arm', '##a', 'ungkap', 'alasan', 'industri', 'farmasi', 'ri', 'harus', 'kuat']",2024/07/10,netral
"HUT ke-54, Dirut KB Bank Bawa Pesan Penting Ini","HUT ke-54 , dirut KB bank bawa pesan penting ini","['hut', 'ke', '-', '54', ',', 'dirut', 'kb', 'bank', 'bawa', 'pesan', 'penting', 'ini']",2024/07/10,netral
"Pasar IPO di RI Sepi, OJK Yakin Penghimpunan Dana Bisa Capai Target","pasar IPO di RI sepi , OJK yakin penghimpunan dana bisa capai target","['pasar', 'ip', '##o', 'di', 'ri', 'sepi', ',', 'ojk', 'yakin', 'pengh', '##impunan', 'dana', 'bisa', 'capai', 'target']",2024/07/10,netral
"Asabri Minta Suntik Modal Rp 3,6 Triliun, Alasannya Buat Ini","asabri minta suntik modal rp 3.6 triliun , alasannya buat ini","['asa', '##br', '##i', 'minta', 'suntik', 'modal', 'rp', '3', '.', '6', 'triliun', ',', 'alasannya', 'buat', 'ini']",2024/07/10,netral
Jangan Sembarangan Kasih KTP! Awas Dipakai Buat Pinjol,jangan sembarangan kasih KTP ! awas dipakai buat pinjol,"['jangan', 'sembarangan', 'kasih', 'ktp', '!', 'awas', 'dipakai', 'buat', 'pinj', '##ol']",2024/07/10,netral
"Tol Cimanggis-Cibitung Garapan WSKT Diresmikan, ke Jagorawi 10 Menit","tol cimanggis-cibitung garapan WSKT diresmikan , ke jagorawi 10 menit","['tol', 'cim', '##anggis', '-', 'cib', '##itung', 'garapan', 'ws', '##kt', 'diresmikan', ',', 'ke', 'jago', '##raw', '##i', '10', 'menit']",2024/07/10,positif
"Minta PMN Rp 2,2 T, Biofarma Mau Produksi 1 Miliar Dosis Vaksin","minta PMN rp 2.2 T , biofarma mau produksi 1 miliar dosis vaksin","['minta', 'pm', '##n', 'rp', '2', '.', '2', 't', ',', 'biof', '##arm', '##a', 'mau', 'produksi', '1', 'miliar', 'dosis', 'vaksin']",2024/07/10,netral
"IHSG Selangkah Lagi Balik ke 7.300, Saham-saham Ini Jadi Penopangnya","IHSG selangkah lagi balik ke 7.300 , saham-saham ini jadi penopangnya","['ihsg', 'selangkah', 'lagi', 'balik', 'ke', '7', '.', '300', ',', 'saham', '-', 'saham', 'ini', 'jadi', 'pen', '##opang', '##nya']",2024/07/10,positif
"Bos ID FOOD Curhat Utang Rp 8,2 T, Minta Negara Suntik Modal Segini","bos ID FOOD curhat utang rp 8.2 T , minta negara suntik modal segini","['bos', 'id', 'food', 'curhat', 'utang', 'rp', '8', '.', '2', 't', ',', 'minta', 'negara', 'suntik', 'modal', 'segi', '##ni']",2024/07/10,netral
Diam-Diam Ada yang Borong Saham Astra International (ASII) 223.300,diam-diam ada yang borong saham astra international ( ASII ) 223.300,"['diam', '-', 'diam', 'ada', 'yang', 'bor', '##ong', 'saham', 'astra', 'international', '(', 'asi', '##i', ')', '223', '.', '300']",2024/07/10,positif
"IFG Ajukan PMN Rp 3 Triliun, 2 Perusahaan Ini Bakal Kebagian","IFG ajukan PMN rp 3 triliun , 2 perusahaan ini bakal kebagian","['if', '##g', 'ajukan', 'pm', '##n', 'rp', '3', 'triliun', ',', '2', 'perusahaan', 'ini', 'bakal', 'kebagian']",2024/07/10,netral
"4 Multifinance RI Dicaplok Asing, Ada dari Korsel, Hong Kong & Jepang","4 multifinance RI dicaplok asing , ada dari korsel , hong kong jepang","['4', 'multif', '##inan', '##ce', 'ri', 'dicap', '##lok', 'asing', ',', 'ada', 'dari', 'korsel', ',', 'hong', 'kong', 'jepang']",2024/07/10,positif
Cerita Haji Isam Dari Tukang Ojek Hingga Borong 2.000 Ekskavator,cerita haji isam dari tukang ojek hingga borong 2.000 ekskavator,"['cerita', 'haji', 'isa', '##m', 'dari', 'tukang', 'ojek', 'hingga', 'bor', '##ong', '2', '.', '000', 'eksk', '##av', '##ator']",2024/07/10,netral
"Saham-Saham BUMN Karya Kompak Ngegas, Ini Komentar BEI","saham-saham BUMN karya kompak ngegas , ini komentar BEI","['saham', '-', 'saham', 'bumn', 'karya', 'kompak', 'nge', '##gas', ',', 'ini', 'komentar', 'bei']",2024/07/10,positif
"Terkuak, Ahmad Rafif Pakai Uang Nasabah Buat Gaji, Hotel & Perjalanan","terkuak , ahmad rafif pakai uang nasabah buat gaji , hotel perjalanan","['terku', '##ak', ',', 'ahmad', 'raf', '##if', 'pakai', 'uang', 'nasabah', 'buat', 'gaji', ',', 'hotel', 'perjalanan']",2024/07/10,netral
"Warga RI Makin Doyan Mobil Listrik, Kredit EV Naik 128,34%","warga RI makin doyan mobil listrik , kredit EV naik 128.34%","['warga', 'ri', 'makin', 'doyan', 'mobil', 'listrik', ',', 'kredit', 'ev', 'naik', '128', '.', '34', '%']",2024/07/10,positif
"Ditanya Soal IPO Perusahaan BUMN, Ini Jawaban Bos Besar BEI","ditanya soal IPO perusahaan BUMN , ini jawaban bos besar BEI","['ditanya', 'soal', 'ip', '##o', 'perusahaan', 'bumn', ',', 'ini', 'jawaban', 'bos', 'besar', 'bei']",2024/07/10,netral
Sah! Wapres Resmikan Bendungan Cipanas Garapan WIKA KSO,sah ! wapres resmikan bendungan cipanas garapan WIKA KSO,"['sah', '!', 'wapres', 'resmi', '##kan', 'bendungan', 'cip', '##anas', 'garapan', 'wika', 'ks', '##o']",2024/07/10,positif
"Banyak Influencer Kelola Dana Seperti Ahmad Rafif, OJK Bilang Begini","banyak influencer kelola dana seperti ahmad rafif , OJK bilang begini","['banyak', 'influ', '##encer', 'kelola', 'dana', 'seperti', 'ahmad', 'raf', '##if', ',', 'ojk', 'bilang', 'begini']",2024/07/10,netral
"DPR Tanya Keberadaan Dirut KAI Saat Rapat PMN Rp1,8 T",DPR tanya keberadaan dirut KAI saat rapat PMN rp 1.8 t,"['dpr', 'tanya', 'keberadaan', 'dirut', 'kai', 'saat', 'rapat', 'pm', '##n', 'rp', '1', '.', '8', 't']",2024/07/10,netral
"Ada Kabar Baik Dari AS, IHSG Dibuka Menguat Lagi","ada kabar baik dari AS , IHSG dibuka menguat lagi","['ada', 'kabar', 'baik', 'dari', 'as', ',', 'ihsg', 'dibuka', 'menguat', 'lagi']",2024/07/10,positif
"Debut Perdana Saham Alat Kesehatan (LABS), Langsung Sentuh ARA","debut perdana saham alat kesehatan ( labs ) , langsung sentuh ARA","['debut', 'perdana', 'saham', 'alat', 'kesehatan', '(', 'lab', '##s', ')', ',', 'langsung', 'sentuh', 'ara']",2024/07/10,positif
"Bos The Fed Ungkap Hal Ini, Dolar Kembali Naik ke Rp16.275","bos the fed ungkap hal ini , dolar kembali naik ke rp 16.275","['bos', 'the', 'fed', 'ungkap', 'hal', 'ini', ',', 'dolar', 'kembali', 'naik', 'ke', 'rp', '16', '.', '275']",2024/07/10,negatif
"Pasar Wait & See, Bursa Asia Loyo Ramai-Ramai","pasar wait see , bursa asia loyo ramai-ramai","['pasar', 'wait', 'see', ',', 'bursa', 'asia', 'loy', '##o', 'ramai', '-', 'ramai']",2024/07/10,netral
"Sosok Raja Hotel Dunia, Balas Dendam Usai Terusir dari RI","sosok raja hotel dunia , balas dendam usai terusir dari RI","['sosok', 'raja', 'hotel', 'dunia', ',', 'balas', 'dendam', 'usai', 'terus', '##ir', 'dari', 'ri']",2024/07/10,netral
"Berkat Powell, Minyak Menguat Usai Anjlok Tiga Hari Beruntun","berkat powell , minyak menguat usai anjlok tiga hari beruntun","['berkat', 'pow', '##ell', ',', 'minyak', 'menguat', 'usai', 'anjlok', 'tiga', 'hari', 'beruntun']",2024/07/10,positif
Awas Rekening Ludes! Ini 6 Ciri M-Banking Dibobol Maling,awas rekening ludes ! ini 6 ciri m-banking dibobol maling,"['awas', 'rekening', 'lud', '##es', '!', 'ini', '6', 'ciri', 'm', '-', 'banking', 'dib', '##obol', 'maling']",2024/07/10,netral
"Ada Kabar Baik dari AS, Akankah Rupiah Menguat?","ada kabar baik dari AS , akankah rupiah menguat ?","['ada', 'kabar', 'baik', 'dari', 'as', ',', 'akankah', 'rupiah', 'menguat', '?']",2024/07/10,netral
"OJK Sentil 28 Multifinance, 13 Modal Ventura, dan 16 Fintech Lending","OJK sentil 28 multifinance , 13 modal ventura , dan 16 fintech lending","['ojk', 'senti', '##l', '28', 'multif', '##inan', '##ce', ',', '13', 'modal', 'ventura', ',', 'dan', '16', 'fin', '##tech', 'len', '##ding']",2024/07/10,negatif
"Diduga Bikin Rugi Rp 96 M, Ahmad Rafif Terancam Penjara 10 Tahun","diduga bikin rugi rp 96 M , ahmad rafif terancam penjara 10 tahun","['diduga', 'bikin', 'rugi', 'rp', '96', 'm', ',', 'ahmad', 'raf', '##if', 'terancam', 'penjara', '10', 'tahun']",2024/07/10,negatif
Asing Ramai-Ramai Jual Deretan Saham Ini Saat IHSG Cerah,asing ramai-ramai jual deretan saham ini saat IHSG cerah,"['asing', 'ramai', '-', 'ramai', 'jual', 'deretan', 'saham', 'ini', 'saat', 'ihsg', 'cerah']",2024/07/10,negatif
"Segini Saldo Minimum Nasabah Prioritas BCA, BRI, BNI, & Mandiri","segini saldo minimum nasabah prioritas BCA , BRI , BNI , mandiri","['segi', '##ni', 'saldo', 'minimum', 'nasabah', 'prioritas', 'bca', ',', 'bri', ',', 'bni', ',', 'mandiri']",2024/07/10,netral
"IHSG Cerah, Asing Berduyun Kembali ke Saham Ini","IHSG cerah , asing berduyun kembali ke saham ini","['ihsg', 'cerah', ',', 'asing', 'berdu', '##yun', 'kembali', 'ke', 'saham', 'ini']",2024/07/10,positif
